Student_ID,Gender,Age,Department,Year,Semester,Subject,Attendance_Period,Total_Classes,Classes_Attended,Previous_Attendance_Percentage,Assignment_Score,Internal_Marks,Study_Hours_Per_Week,Medical_Leave_Days,Travel_Distance_KM,Previous_Exam_Score,Late_Count,Online_Class_Attendance,Attendance_Percentage,Attendance_Status
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,10,9,100.0,63.7,19.8,17.8,1,14.0,85.0,0,75.4,90.0,Regular
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,12,8,100.0,63.7,14.7,17.8,0,14.0,84.0,0,69.1,66.67,Defaulter
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,8,8,95.56,57.1,22.2,17.8,1,14.0,87.6,2,76.1,100.0,Regular
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,8,8,95.56,57.1,17.5,17.8,2,14.0,84.5,0,60.8,100.0,Regular
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,10,9,95.56,57.1,17.4,17.8,1,14.0,82.3,0,51.8,90.0,Regular
STU0002,Female,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,10,10,95.56,57.1,13.4,17.8,1,14.0,84.9,3,27.2,100.0,Regular
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,8,5,58.16,70.0,6.6,11.1,0,23.2,61.0,0,83.9,62.5,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,8,5,58.16,70.0,13.2,11.1,1,23.2,61.5,1,23.1,62.5,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,12,4,58.16,70.0,7.8,11.1,1,23.2,58.9,0,91.9,33.33,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,11,8,58.16,70.0,13.1,11.1,1,23.2,59.6,3,48.2,72.73,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,12,5,45.15,61.8,5.2,11.1,0,23.2,62.6,0,53.9,41.67,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,8,4,45.15,61.8,1.4,11.1,0,23.2,60.3,1,68.3,50.0,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,11,7,45.15,61.8,7.0,11.1,1,23.2,59.1,0,89.9,63.64,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,12,2,45.15,61.8,0.0,11.1,1,23.2,63.5,1,65.0,16.67,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,11,3,45.27,44.9,6.5,11.1,2,23.2,56.6,1,66.4,27.27,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,9,5,45.27,44.9,5.7,11.1,0,23.2,63.9,2,85.8,55.56,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,10,4,45.27,44.9,9.3,11.1,0,23.2,60.8,1,56.1,40.0,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,12,5,45.27,44.9,6.8,11.1,1,23.2,61.7,2,70.1,41.67,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_1,8,5,52.38,60.2,12.8,11.1,0,23.2,57.3,1,43.5,62.5,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_2,11,4,52.38,60.2,6.8,11.1,0,23.2,61.4,0,79.9,36.36,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,12,7,52.38,60.2,13.0,11.1,3,23.2,61.9,3,62.0,58.33,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,12,5,52.38,60.2,7.5,11.1,1,23.2,60.7,3,81.2,41.67,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,11,5,44.8,62.8,7.8,11.1,1,23.2,56.1,2,63.4,45.45,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,8,4,44.8,62.8,10.9,11.1,0,23.2,62.3,1,76.0,50.0,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,12,6,44.8,62.8,7.8,11.1,1,23.2,62.7,3,75.6,50.0,Defaulter
STU0003,Male,22,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,10,5,44.8,62.8,9.5,11.1,1,23.2,60.4,1,80.1,50.0,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,9,9,71.88,67.4,17.6,16.0,0,28.7,84.9,4,67.4,100.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,11,8,71.88,67.4,13.2,16.0,2,28.7,81.0,1,61.3,72.73,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,12,10,71.88,67.4,13.5,16.0,0,28.7,83.1,3,61.0,83.33,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,8,6,71.88,67.4,13.5,16.0,2,28.7,76.5,1,65.9,75.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,10,8,68.19,60.6,10.6,16.0,4,28.7,82.2,1,72.4,80.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,12,9,68.19,60.6,15.3,16.0,1,28.7,77.8,2,69.0,75.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,10,9,68.19,60.6,15.9,16.0,1,28.7,85.0,2,73.6,90.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,11,11,68.19,60.6,15.7,16.0,1,28.7,81.2,0,76.9,100.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,10,6,74.3,65.1,13.4,16.0,1,28.7,82.5,5,95.3,60.0,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,8,7,74.3,65.1,20.7,16.0,1,28.7,77.7,0,78.3,87.5,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,9,5,74.3,65.1,6.8,16.0,1,28.7,84.4,4,71.3,55.56,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,11,8,74.3,65.1,14.5,16.0,0,28.7,78.8,0,70.0,72.73,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_1,11,7,76.47,68.2,8.6,16.0,0,28.7,79.5,1,84.2,63.64,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_2,12,9,76.47,68.2,10.6,16.0,0,28.7,74.3,0,41.0,75.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,10,9,76.47,68.2,16.0,16.0,3,28.7,82.7,1,60.8,90.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,8,6,76.47,68.2,11.3,16.0,2,28.7,81.1,2,57.3,75.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,9,9,66.63,60.6,16.4,16.0,0,28.7,80.7,2,54.0,100.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,12,7,66.63,60.6,7.5,16.0,1,28.7,78.6,1,83.7,58.33,Defaulter
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,12,9,66.63,60.6,8.0,16.0,2,28.7,86.9,4,100.0,75.0,Regular
STU0004,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,8,5,66.63,60.6,7.5,16.0,0,28.7,79.5,0,48.8,62.5,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,11,9,86.81,58.7,8.5,15.1,0,3.8,72.6,2,68.0,81.82,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,11,6,86.81,58.7,5.5,15.1,2,3.8,78.5,1,80.5,54.55,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,12,8,86.81,58.7,13.7,15.1,0,3.8,73.1,3,58.3,66.67,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,11,8,86.81,58.7,12.1,15.1,2,3.8,71.8,0,100.0,72.73,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,12,11,82.47,72.5,12.5,15.1,0,3.8,65.0,2,63.4,91.67,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,8,6,82.47,72.5,7.3,15.1,1,3.8,70.3,3,82.4,75.0,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,10,7,82.47,72.5,16.6,15.1,1,3.8,72.4,2,56.6,70.0,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,8,7,82.47,72.5,18.1,15.1,0,3.8,75.3,4,60.4,87.5,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,9,5,81.02,64.1,1.9,15.1,1,3.8,70.9,3,83.2,55.56,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,11,8,81.02,64.1,11.5,15.1,1,3.8,70.6,3,54.6,72.73,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,10,5,81.02,64.1,11.5,15.1,1,3.8,66.9,3,64.4,50.0,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,9,8,81.02,64.1,13.3,15.1,0,3.8,65.9,2,76.0,88.89,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_1,11,7,82.69,64.5,16.2,15.1,0,3.8,68.7,0,62.1,63.64,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_2,12,10,82.69,64.5,16.0,15.1,1,3.8,65.7,1,100.0,83.33,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,11,10,82.69,64.5,13.0,15.1,0,3.8,69.8,2,66.5,90.91,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,12,10,82.69,64.5,20.6,15.1,2,3.8,69.6,1,81.9,83.33,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,12,9,75.84,61.2,12.0,15.1,0,3.8,67.0,2,76.0,75.0,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,10,9,75.84,61.2,21.2,15.1,5,3.8,69.4,5,24.1,90.0,Regular
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,12,7,75.84,61.2,10.9,15.1,0,3.8,67.7,0,75.4,58.33,Defaulter
STU0005,Male,21,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,9,6,75.84,61.2,17.9,15.1,0,3.8,76.0,0,40.1,66.67,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,12,6,76.69,61.5,9.8,10.8,2,1.2,57.8,6,89.2,50.0,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,9,4,76.69,61.5,10.5,10.8,1,1.2,60.5,2,54.6,44.44,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,8,5,76.69,61.5,17.3,10.8,1,1.2,57.6,1,91.8,62.5,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,12,6,76.69,61.5,5.8,10.8,0,1.2,56.6,1,58.4,50.0,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,10,8,66.35,43.9,14.1,10.8,2,1.2,62.6,2,47.7,80.0,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,10,7,66.35,43.9,13.8,10.8,3,1.2,58.0,0,78.2,70.0,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,11,10,66.35,43.9,15.9,10.8,2,1.2,61.3,3,77.4,90.91,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,11,8,66.35,43.9,7.9,10.8,1,1.2,58.3,1,88.0,72.73,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,11,11,57.03,50.7,12.2,10.8,0,1.2,58.6,1,79.0,100.0,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,9,7,57.03,50.7,17.1,10.8,0,1.2,56.5,2,72.9,77.78,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,9,6,57.03,50.7,7.7,10.8,0,1.2,56.4,4,60.9,66.67,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,8,7,57.03,50.7,17.1,10.8,1,1.2,58.5,2,72.1,87.5,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_1,10,6,63.14,38.5,12.3,10.8,1,1.2,62.1,3,88.1,60.0,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_2,11,6,63.14,38.5,8.6,10.8,1,1.2,58.2,3,66.0,54.55,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,9,6,63.14,38.5,14.1,10.8,0,1.2,58.4,2,79.2,66.67,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,8,7,63.14,38.5,20.5,10.8,3,1.2,54.6,0,87.2,87.5,Regular
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,8,5,70.29,38.8,14.3,10.8,1,1.2,54.9,1,56.9,62.5,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,11,7,70.29,38.8,8.9,10.8,1,1.2,59.3,2,66.5,63.64,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,10,6,70.29,38.8,5.8,10.8,0,1.2,57.8,2,89.0,60.0,Defaulter
STU0006,Male,23,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,9,7,70.29,38.8,11.2,10.8,1,1.2,56.9,1,54.2,77.78,Regular
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,8,6,53.16,48.8,13.9,11.7,3,3.9,69.1,4,84.6,75.0,Regular
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,12,7,53.16,48.8,7.2,11.7,0,3.9,74.7,0,93.6,58.33,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,11,8,53.16,48.8,10.0,11.7,0,3.9,71.3,2,57.6,72.73,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,9,5,53.16,48.8,7.7,11.7,0,3.9,69.7,3,71.1,55.56,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,11,7,57.13,56.9,15.8,11.7,1,3.9,68.7,5,80.4,63.64,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,8,5,57.13,56.9,10.8,11.7,1,3.9,72.5,3,63.8,62.5,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,11,7,57.13,56.9,4.4,11.7,3,3.9,73.2,3,73.6,63.64,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,8,5,57.13,56.9,8.5,11.7,2,3.9,74.3,2,85.8,62.5,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,10,5,57.86,52.6,6.8,11.7,1,3.9,75.8,2,67.7,50.0,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,9,5,57.86,52.6,3.7,11.7,3,3.9,73.8,2,42.2,55.56,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,9,5,57.86,52.6,10.6,11.7,2,3.9,71.5,2,67.4,55.56,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,12,4,57.86,52.6,8.6,11.7,0,3.9,76.3,4,48.6,33.33,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_1,9,5,62.67,59.9,10.4,11.7,0,3.9,73.2,5,74.4,55.56,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_2,11,7,62.67,59.9,9.6,11.7,3,3.9,70.6,2,80.3,63.64,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_3,9,7,62.67,59.9,20.2,11.7,3,3.9,73.9,2,71.4,77.78,Regular
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Software Engineering,Period_4,9,5,62.67,59.9,15.9,11.7,0,3.9,68.7,1,84.1,55.56,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_1,11,6,57.5,49.1,9.2,11.7,0,3.9,71.8,1,100.0,54.55,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_2,8,5,57.5,49.1,6.1,11.7,1,3.9,75.6,3,93.4,62.5,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_3,10,3,57.5,49.1,1.5,11.7,1,3.9,68.2,2,86.2,30.0,Defaulter
STU0007,Male,19,Computer Engineering,Third Year,Fifth Semester,Theory of Computation,Period_4,10,6,57.5,49.1,11.9,11.7,2,3.9,71.9,1,61.0,60.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_1,10,4,57.9,43.7,3.1,8.2,1,8.6,58.7,1,56.2,40.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_2,9,3,57.9,43.7,12.4,8.2,1,8.6,55.1,1,49.6,33.33,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_3,8,2,57.9,43.7,3.0,8.2,0,8.6,55.0,2,100.0,25.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Computer Networks,Period_4,11,6,57.9,43.7,2.7,8.2,3,8.6,52.9,2,72.6,54.55,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_1,8,3,40.83,23.9,5.2,8.2,0,8.6,56.8,1,65.2,37.5,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_2,11,6,40.83,23.9,7.1,8.2,0,8.6,56.8,1,47.6,54.55,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_3,11,7,40.83,23.9,15.6,8.2,1,8.6,55.5,1,64.1,63.64,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Data Structures & Algorithms,Period_4,10,6,40.83,23.9,8.6,8.2,3,8.6,49.9,1,92.8,60.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_1,10,5,55.07,58.5,1.0,8.2,2,8.6,51.4,2,57.5,50.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_2,11,3,55.07,58.5,3.8,8.2,0,8.6,53.1,2,52.8,27.27,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_3,10,6,55.07,58.5,10.3,8.2,2,8.6,58.4,5,23.3,60.0,Defaulter
STU0008,Male,22,Computer Engineering,Third Year,Fifth Semester,Database Management Systems,Period_4,9,1,55.07,58.5,0.0,8.2,1,8.6,49.0,1,86.4,11.11,Defaulter
